place,place_address,station_name,station_address,distance
Almacenes Rodríguez,Calle CABALLERO DE GRACIA 3,Tres Cruces,Calle Tres Cruces nº 7,148.15
Antigua Fábrica Martini &amp; Rossi,AVENIDA ARAGON 328,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5249.56
Ateneo de Madrid,Calle PRADO 21,Plaza de Santa Ana,Plaza de Santa Ana nº 10,226.42
Banco Bilbao Vizcaya Argentaria,Calle ALCALÁ 16,Sevilla,Calle Alcalá nº 27,131.14
Banco de España,Calle ALCALÁ 48,Banco de España A,Calle Alcalá nº 49,132.97
Banco Matritense,Calle GRAN VIA 22,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,85.22
Basílica Pontificia de San Miguel,CALLE SAN JUSTO 4,Plaza del Cordón,Plaza del Cordón,56.49
Biblioteca Central de la UNED Madrid,CALLE SENDA DEL REY 8,Paseo de Moret,Paseo de Moret nº 11,616.51
Biblioteca Pública Usera José Hierro,AVENIDA RAFAELA YBARRA 43,Glorieta de Cádiz,Calle Antonio López nº 129,1183.37
Bolsa de Madrid,PLAZA LEALTAD 1,Cibeles,Plaza Cibeles,222.18
CaixaForum,PASEO PRADO 36,Almadén,Calle Almadén nº 28,21.33
Capilla de San Isidro en la Iglesia de San Andrés,PLAZA SAN ANDRES 1,Plaza de los Carros,Carrera de San Francisco nº 1,94.15
Casa Árabe (antiguas Escuelas Aguirre),CALLE ALCALA 62,Castelló,Calle Alcalá nº 111,34.27
Casa de la Villa,PLAZA VILLA 5,Plaza de San Miguel,Plaza de San Miguel nº 9,103.74
Casa de las Alhajas. Antigua Caja de Ahorros,PLAZA SAN MARTIN 1,Plaza de Celenque B,Plaza de Celenque nº 1,109.35
Casa de las Flores,CALLE RODRIGUEZ SAN PEDRO 72,Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,209.57
Casa del cura de la iglesia de San José,Calle ALCALÁ ,Banco de España A,Calle Alcalá nº 49,120.85
"Casa Sindical (actual sede del Ministerio de Sanidad, Servicios Sociales e Igualdad)",PASEO PRADO 18,Huertas,Calle Jesús nº 1,143.54
Casino de Madrid,CALLE ALCALA 15,Puerta del Sol B,Puerta del Sol nº 1,123.25
Casita Del Príncipe (El Pardo),CALLE ADELINA PATTI 1,Pedro Rico,Calle Pedro Rico nº 4,9030.4
Cementerio de la Almudena,AVENIDA DAROCA 94,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,415.6
"Central Eléctrica del Pacífico, talleres y oficinas del Metro",CALLE VALDERRIBAS 49,Valderribas,Calle Doctor Esquerdo nº 191,178.98
Centro Cultural Daoíz y Velarde,PLAZA DAOIZ Y VELARDE 4,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,186.55
Centro Cultural La Corrala (sede del Museo de Artes y Tradiciones Populares),CALLE CARLOS ARNICHES 3,Plaza de la Cebada,Plaza de la Cebada nº 16 ,275.51
Centro del Ejército y la Armada (Casino Militar),Calle CABALLERO DE GRACIA 9,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,141.59
Cine Avenida,Calle ABADA 11,Miguel Moya,Calle Miguel Moya nº 1,98.22
Cine Callao,Plaza CALLAO 2,Jacometrezo,Calle Jacometrezo nº 3,25.36
Cine Gran Vía y Hotel Vincci,Calle GARCIA MOLINAS ,San Bernardo,Calle San Bernardo nº 22,118.46
Círculo de Bellas Artes,Calle ALCALÁ 42,Banco de España A,Calle Alcalá nº 49,147.56
Círculo de la Unión Mercantil e Industrial,Calle GRAN VIA 24,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,111.0
Ciudad Universitaria de Madrid,CIUDAD UNIVERSITARIA ,Facultad Derecho,Avenida Complutense nº 23,854.7
Colegio de Nuestra Señora de Loreto. Madres Ursulinas,CALLE PRINCIPE DE VERGARA 42,General Pardiñas,Calle General Pardiñas nº 56,161.9
Colegio Mayor Casa do Brasil,AVENIDA ARCO DE LA VICTORIA 3,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,398.74
Colegio Nuestra Señora del Pilar,CALLE CASTELLO 56,Ayala,Calle Ayala nº 44,188.22
Colegio Oficial de Arquitectos de Madrid,CALLE HORTALEZA 63,Colegio Arquitectos,Calle Hortaleza nº 63,8.29
Complejo El Águila,CALLE RAMIREZ DE PRADO 3,Juan Martín,Calle Juan Martín el Empecinado nº 16,180.27
Congreso de los Diputados,Plaza CORTES 1,Marqués de Cubas,Calle del Marqués de Cubas nº 25,73.24
Convento de las Comendadoras y parroquia de Santiago el Mayor,PLAZA COMENDADORAS 10,Conde Duque,Calle Conde Duque nº 22,127.53
Cuartel del Conde Duque,Calle CONDE DUQUE 9,Conde Duque,Calle Conde Duque nº 22,56.26
Edificio Bankinter,PASEO CASTELLANA 29,Ortega y Gasset,Calle José Ortega y Gasset nº 4,255.07
Edificio Bankunión (Parlamento Europeo y Embajada de Irlanda),PASEO CASTELLANA 46,Castellana 42,Paseo de la Castellana nº 42,88.67
Edificio Carrión (Capitol),Calle GRAN VIA 41,Jacometrezo,Calle Jacometrezo nº 3,39.03
Edificio Coliseum (Teatro Coliseum),CALLE GRAN VIA 78,Plaza de España B,Calle Princesa nº 5,54.27
Edificio de 20 viviendas en calle Cervantes,CALLE CERVANTES 36,Huertas,Calle Jesús nº 1,116.74
Edificio de La Unión y el Fénix,Calle GARCIA MOLINAS ,San Bernardo,Calle San Bernardo nº 22,145.74
Edificio de Los Previsores del Porvenir,Calle CABALLERO DE GRACIA 19,Sevilla,Calle Alcalá nº 27,112.55
Edificio de Oficinas y Apartamentos,Calle GRAN VIA 43,Jacometrezo,Calle Jacometrezo nº 3,66.78
Edificio de Viviendas en la calle Hilarión Eslava,CALLE HILARION ESLAVA 10,Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,101.37
Edificio Girasol,CALLE LAGASCA 90,Embajada de Italia,Calle Velázquez nº 75,83.89
Edificio Gran Peña,Calle GRAN VIA 2,Banco de España A,Calle Alcalá nº 49,156.32
Edificio Hostal Lauria,Calle GRAN VIA 50,Miguel Moya,Calle Miguel Moya nº 1,70.14
Edificio La Adriática,Plaza CALLAO ,Miguel Moya,Calle Miguel Moya nº 1,77.58
Edificio Los Sótanos,Calle GRAN VIA 57,Santo Domingo,Plaza de Santo Domingo nº 1,179.19
Edificio Los Sótanos,Calle GRAN VIA 59,San Bernardo,Calle San Bernardo nº 22,185.37
Edificio Los Sótanos y Teatro Lope de Vega,Calle GRAN VIA 55,Santo Domingo,Plaza de Santo Domingo nº 1,148.96
Edificio Matesanz,Calle GRAN VIA 27,Tres Cruces,Calle Tres Cruces nº 7,20.97
Edificio Metrópolis,CALLE ALCALA 39,Sevilla,Calle Alcalá nº 27,103.74
Edificio para el Banco Urquijo,Calle GRAN VIA 4,Sevilla,Calle Alcalá nº 27,160.27
Edificio Rialto,Calle GRAN VIA 54,Miguel Moya,Calle Miguel Moya nº 1,141.29
Edificio Telefónica,CALLE GRAN VIA 28,Desengaño,Calle Desengaño nº 1,50.98
Edificio Vita,Calle GRAN VIA 62,San Bernardo,Calle San Bernardo nº 22,120.62
Edificio Vitalicio,Plaza ESPAÑA ,Plaza de España B,Calle Princesa nº 5,74.78
Edificio y Cine Pompeya,Calle GRAN VIA 70,Plaza de España B,Calle Princesa nº 5,137.56
Edificios Los Sótanos. Hotel Emperador,Calle GRAN VIA 53,Santo Domingo,Plaza de Santo Domingo nº 1,121.94
Ermita de la Virgen del Puerto,PASEO VIRGEN DEL PUERTO 4,Segovia 45,Calle Segovia nº 45,369.97
Ermita de San Antonio de la Florida,GLORIETA SAN ANTONIO DE LA FLORIDA 4,Paseo de la Florida,Paseo de la Florida nº 8,506.53
Ermita de Santa Maria la Antigua,CALLE MONSE&amp;Ntilde;OR OSCAR ROMERO 92,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3510.14
Escuelas Pías de San Fernando (Biblioteca  y centro de la UNED),CALLE SOMBRERETE 15,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,198.66
Estación de Atocha,PLAZA EMPERADOR CARLOS V 3,Museo Reina Sofía,Calle Santa Isabel nº 57,100.66
Fundación Francisco Giner de los Ríos,PASEO GENERAL MARTINEZ CAMPOS 14,General Martínez Campos ,Calle Fernández de la Hoz nº 29,171.0
Fundación Juan March,CALLE CASTELLO 77,Marqués de Salamanca,Calle José Ortega y Gasset nº 30,137.89
Gimnasio del Colegio Maravillas,CALLE JOAQUIN COSTA 21,Plaza de la República Argentina,Plaza de la República Argentina nº 6,200.73
Grandes Almacenes Madrid-París,Calle DESENGAÑO 7,Desengaño,Calle Desengaño nº 1,87.29
Hipódromo de la Zarzuela,HIPODROMO ZARZUELA ,Facultad Derecho,Avenida Complutense nº 23,3873.92
Hospital de Jornaleros San Francisco de Paula,CALLE MAUDES 17,Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,211.51
Hotel Alfonso XIII,Calle GRAN VIA 34,Desengaño,Calle Desengaño nº 1,146.33
Hotel Apartamentos Espahotel,Calle FLOR BAJA 6,Plaza de España B,Calle Princesa nº 5,136.5
Hotel Gran Vía,Calle GRAN VIA 25,Tres Cruces,Calle Tres Cruces nº 7,38.54
Hotel Menfis,Calle GENERAL MITRE ,Plaza de España B,Calle Princesa nº 5,93.87
Hotel Metropolitano,Calle GRAN VIA 23,Tres Cruces,Calle Tres Cruces nº 7,60.47
Hotel Nueva York y cine Actualidades,Calle GRAN VIA 48,Miguel Moya,Calle Miguel Moya nº 1,47.03
Hotel Palace,PLAZA CORTES 7,Marqués de Cubas,Calle del Marqués de Cubas nº 25,86.89
Hotel Roma,CALLE CLAVEL 3,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,87.32
Hotel Washington,Calle GRAN VIA 72,Plaza de España B,Calle Princesa nº 5,114.27
Hotel y cine Rex,Calle GRAN VIA 43B,Jacometrezo,Calle Jacometrezo nº 3,83.32
Iglesia de la Concepción Real de Calatrava,Calle ALCALÁ 25,Sevilla,Calle Alcalá nº 27,51.89
Iglesia de San Antonio de los Alemanes,Calle PUEBLA 22,Carlos Cambronero,Plaza de Carlos Cambronero nº 2,90.96
Iglesia de San Jerónimo el Real,CALLE MORETO 4,Espalter,Calle Espalter nº 1,178.46
Iglesia de San José,Calle ALCALÁ 43,Banco de España A,Calle Alcalá nº 49,107.59
Iglesia de San Manuel y San Benito,Calle ALCALÁ 83,Velázquez,Calle Alcalá nº 95,196.98
