place,place_address,station_name,station_address,distance
Almacenes Rodríguez,Calle CABALLERO DE GRACIA 3,Bicipark Canalejas,-,246.15
Antigua Fábrica Martini &amp; Rossi,AVENIDA ARAGON 328,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,7700.55
Ateneo de Madrid,Calle PRADO 21,Bicipark Canalejas,-,283.15
Banco Bilbao Vizcaya Argentaria,Calle ALCALÁ 16,Bicipark Canalejas,-,52.3
Banco de España,Calle ALCALÁ 48,Bicipark Recoletos,"Paseo de Recoletos, 2",348.54
Banco Matritense,Calle GRAN VIA 22,Bicipark Canalejas,-,269.03
Basílica Pontificia de San Miguel,CALLE SAN JUSTO 4,Bicipark Canalejas,-,952.74
Biblioteca Central de la UNED Madrid,CALLE SENDA DEL REY 8,Bicipark Canalejas,-,3208.39
Biblioteca Pública Usera José Hierro,AVENIDA RAFAELA YBARRA 43,Bicipark Canalejas,-,4105.08
Bolsa de Madrid,PLAZA LEALTAD 1,Bicipark Montalban,"Calle de Montalbán, 5",183.77
CaixaForum,PASEO PRADO 36,Bicipark Montalban,"Calle de Montalbán, 5",823.89
Capilla de San Isidro en la Iglesia de San Andrés,PLAZA SAN ANDRES 1,Bicipark Canalejas,-,1153.32
Casa Árabe (antiguas Escuelas Aguirre),CALLE ALCALA 62,Bicipark Montalban,"Calle de Montalbán, 5",836.7
Casa de la Villa,PLAZA VILLA 5,Bicipark Canalejas,-,988.37
Casa de las Alhajas. Antigua Caja de Ahorros,PLAZA SAN MARTIN 1,Bicipark Canalejas,-,636.84
Casa de las Flores,CALLE RODRIGUEZ SAN PEDRO 72,Bicipark Almagro,"Calle Almagro, 11",2012.64
Casa del cura de la iglesia de San José,Calle ALCALÁ ,Bicipark Canalejas,-,265.39
"Casa Sindical (actual sede del Ministerio de Sanidad, Servicios Sociales e Igualdad)",PASEO PRADO 18,Bicipark Montalban,"Calle de Montalbán, 5",562.57
Casino de Madrid,CALLE ALCALA 15,Bicipark Canalejas,-,70.31
Casita Del Príncipe (El Pardo),CALLE ADELINA PATTI 1,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5543.64
Cementerio de la Almudena,AVENIDA DAROCA 94,Bicipark Salamanca,Pl. del Marqués de Salamanca,2824.61
"Central Eléctrica del Pacífico, talleres y oficinas del Metro",CALLE VALDERRIBAS 49,Bicipark Montalban,"Calle de Montalbán, 5",2093.1
Centro Cultural Daoíz y Velarde,PLAZA DAOIZ Y VELARDE 4,Bicipark Montalban,"Calle de Montalbán, 5",2151.02
Centro Cultural La Corrala (sede del Museo de Artes y Tradiciones Populares),CALLE CARLOS ARNICHES 3,Bicipark Canalejas,-,1249.61
Centro del Ejército y la Armada (Casino Militar),Calle CABALLERO DE GRACIA 9,Bicipark Canalejas,-,195.33
Cine Avenida,Calle ABADA 11,Bicipark Canalejas,-,531.21
Cine Callao,Plaza CALLAO 2,Bicipark Canalejas,-,625.58
Cine Gran Vía y Hotel Vincci,Calle GARCIA MOLINAS ,Bicipark Canalejas,-,947.03
Círculo de Bellas Artes,Calle ALCALÁ 42,Bicipark Canalejas,-,252.13
Círculo de la Unión Mercantil e Industrial,Calle GRAN VIA 24,Bicipark Canalejas,-,295.55
Ciudad Universitaria de Madrid,CIUDAD UNIVERSITARIA ,Bicipark Orense,"Avenida General Perón, 27",2730.84
Colegio de Nuestra Señora de Loreto. Madres Ursulinas,CALLE PRINCIPE DE VERGARA 42,Bicipark Salamanca,Pl. del Marqués de Salamanca,251.09
Colegio Mayor Casa do Brasil,AVENIDA ARCO DE LA VICTORIA 3,Bicipark Almagro,"Calle Almagro, 11",2889.95
Colegio Nuestra Señora del Pilar,CALLE CASTELLO 56,Bicipark Salamanca,Pl. del Marqués de Salamanca,281.22
Colegio Oficial de Arquitectos de Madrid,CALLE HORTALEZA 63,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",439.78
Complejo El Águila,CALLE RAMIREZ DE PRADO 3,Bicipark Montalban,"Calle de Montalbán, 5",2028.77
Congreso de los Diputados,Plaza CORTES 1,Bicipark Canalejas,-,288.27
Convento de las Comendadoras y parroquia de Santiago el Mayor,PLAZA COMENDADORAS 10,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1305.35
Cuartel del Conde Duque,Calle CONDE DUQUE 9,Bicipark Canalejas,-,1459.41
Edificio Bankinter,PASEO CASTELLANA 29,Bicipark Almagro,"Calle Almagro, 11",288.07
Edificio Bankunión (Parlamento Europeo y Embajada de Irlanda),PASEO CASTELLANA 46,Bicipark Almagro,"Calle Almagro, 11",601.84
Edificio Carrión (Capitol),Calle GRAN VIA 41,Bicipark Canalejas,-,682.3
Edificio Coliseum (Teatro Coliseum),CALLE GRAN VIA 78,Bicipark Canalejas,-,1096.93
Edificio de 20 viviendas en calle Cervantes,CALLE CERVANTES 36,Bicipark Canalejas,-,486.12
Edificio de La Unión y el Fénix,Calle GARCIA MOLINAS ,Bicipark Canalejas,-,980.74
Edificio de Los Previsores del Porvenir,Calle CABALLERO DE GRACIA 19,Bicipark Canalejas,-,171.25
Edificio de Oficinas y Apartamentos,Calle GRAN VIA 43,Bicipark Canalejas,-,711.24
Edificio de Viviendas en la calle Hilarión Eslava,CALLE HILARION ESLAVA 10,Bicipark Almagro,"Calle Almagro, 11",2025.46
Edificio Girasol,CALLE LAGASCA 90,Bicipark Salamanca,Pl. del Marqués de Salamanca,468.19
Edificio Gran Peña,Calle GRAN VIA 2,Bicipark Canalejas,-,250.05
Edificio Hostal Lauria,Calle GRAN VIA 50,Bicipark Canalejas,-,692.76
Edificio La Adriática,Plaza CALLAO ,Bicipark Canalejas,-,556.22
Edificio Los Sótanos,Calle GRAN VIA 57,Bicipark Canalejas,-,920.1
Edificio Los Sótanos,Calle GRAN VIA 59,Bicipark Canalejas,-,942.82
Edificio Los Sótanos y Teatro Lope de Vega,Calle GRAN VIA 55,Bicipark Canalejas,-,890.21
Edificio Matesanz,Calle GRAN VIA 27,Bicipark Canalejas,-,362.7
Edificio Metrópolis,CALLE ALCALA 39,Bicipark Canalejas,-,196.49
Edificio para el Banco Urquijo,Calle GRAN VIA 4,Bicipark Canalejas,-,241.06
Edificio Rialto,Calle GRAN VIA 54,Bicipark Canalejas,-,762.35
Edificio Telefónica,CALLE GRAN VIA 28,Bicipark Canalejas,-,346.19
Edificio Vita,Calle GRAN VIA 62,Bicipark Canalejas,-,901.78
Edificio Vitalicio,Plaza ESPAÑA ,Bicipark Canalejas,-,1127.43
Edificio y Cine Pompeya,Calle GRAN VIA 70,Bicipark Canalejas,-,1008.19
Edificios Los Sótanos. Hotel Emperador,Calle GRAN VIA 53,Bicipark Canalejas,-,852.19
Ermita de la Virgen del Puerto,PASEO VIRGEN DEL PUERTO 4,Bicipark Canalejas,-,1852.59
Ermita de San Antonio de la Florida,GLORIETA SAN ANTONIO DE LA FLORIDA 4,Bicipark Canalejas,-,2415.75
Ermita de Santa Maria la Antigua,CALLE MONSE&amp;Ntilde;OR OSCAR ROMERO 92,Bicipark Aviación,Parking Aviación Española,2643.68
Escuelas Pías de San Fernando (Biblioteca  y centro de la UNED),CALLE SOMBRERETE 15,Bicipark Canalejas,-,1138.69
Estación de Atocha,PLAZA EMPERADOR CARLOS V 3,Bicipark Montalban,"Calle de Montalbán, 5",1144.12
Fundación Francisco Giner de los Ríos,PASEO GENERAL MARTINEZ CAMPOS 14,Bicipark Almagro,"Calle Almagro, 11",602.46
Fundación Juan March,CALLE CASTELLO 77,Bicipark Salamanca,Pl. del Marqués de Salamanca,193.68
Gimnasio del Colegio Maravillas,CALLE JOAQUIN COSTA 21,Bicipark Orense,"Avenida General Perón, 27",927.95
Grandes Almacenes Madrid-París,Calle DESENGAÑO 7,Bicipark Canalejas,-,454.27
Hipódromo de la Zarzuela,HIPODROMO ZARZUELA ,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3361.17
Hospital de Jornaleros San Francisco de Paula,CALLE MAUDES 17,Bicipark Orense,"Avenida General Perón, 27",1045.08
Hotel Alfonso XIII,Calle GRAN VIA 34,Bicipark Canalejas,-,496.03
Hotel Apartamentos Espahotel,Calle FLOR BAJA 6,Bicipark Canalejas,-,1039.47
Hotel Gran Vía,Calle GRAN VIA 25,Bicipark Canalejas,-,320.5
Hotel Menfis,Calle GENERAL MITRE ,Bicipark Canalejas,-,1052.0
Hotel Metropolitano,Calle GRAN VIA 23,Bicipark Canalejas,-,300.57
Hotel Nueva York y cine Actualidades,Calle GRAN VIA 48,Bicipark Canalejas,-,668.12
Hotel Palace,PLAZA CORTES 7,Bicipark Canalejas,-,404.78
Hotel Roma,CALLE CLAVEL 3,Bicipark Canalejas,-,243.53
Hotel Washington,Calle GRAN VIA 72,Bicipark Canalejas,-,1031.48
Hotel y cine Rex,Calle GRAN VIA 43B,Bicipark Canalejas,-,725.47
