address,dock_bikes,geometry
"Avenida del Ensanche de Vallecas, 9,",7,"{'type': 'Point', 'coordinates': [-3.61253028, 40.37043968]}"
"Paseo de la Chopera,33,Comunidad de Madrid España",20,"{'type': 'Point', 'coordinates': [-3.7003996647238746, 40.39500000000003]}"
"Paseo de la Castellana nº 122,",10,"{'type': 'Point', 'coordinates': [-3.6908, 40.4491]}"
"Paseo de la Castellana nº 164,Comunidad de Madrid España",2,"{'type': 'Point', 'coordinates': [-3.6894151, 40.4591366]}"
"Guetaria , 84b,",17,"{'type': 'Point', 'coordinates': [-3.71569102, 40.36916772]}"
"Calle de Gloria Fuertes, 181,",15,"{'type': 'Point', 'coordinates': [-3.7249527, 40.4956969]}"
"Calle del Pinzon, 1A,",7,"{'type': 'Point', 'coordinates': [-3.7405438, 40.39229225]}"
"Av Abrantes, 55,",18,"{'type': 'Point', 'coordinates': [-3.72783615, 40.38091762]}"
"Calle de Mota del Cuervo, 70,",4,"{'type': 'Point', 'coordinates': [-3.63135715, 40.4648762]}"
"Calle Seseña, 93,",1,"{'type': 'Point', 'coordinates': [-3.76815631, 40.39497294]}"
"Calle Cardaño, 10,",7,"{'type': 'Point', 'coordinates': [-3.77057541, 40.39659757]}"
"Calle Troya, 11,",10,"{'type': 'Point', 'coordinates': [-3.61191521, 40.43699597]}"
"Calle Eugenia de Montijo, 83,",0,"{'type': 'Point', 'coordinates': [-3.7509733, 40.37562288]}"
"Calle Antonia Rodriguez Sacristan, 4,",3,"{'type': 'Point', 'coordinates': [-3.74765739, 40.37313777]}"
"Calle Caleruega, 18,",3,"{'type': 'Point', 'coordinates': [-3.670588, 40.478746]}"
"Calle Islas Cies, 27,",17,"{'type': 'Point', 'coordinates': [-3.71869067, 40.48027409]}"
"Calle Pedro Rico, 49,",21,"{'type': 'Point', 'coordinates': [-3.703918, 40.48194]}"
"Avenida de Betanzos, 68,",6,"{'type': 'Point', 'coordinates': [-3.7132206, 40.48178815]}"
"Calle Ramon Gomez de la Serna, 37,",22,"{'type': 'Point', 'coordinates': [-3.72382554, 40.48432751]}"
"Calle de Dulce Chacon, sn,",7,"{'type': 'Point', 'coordinates': [-3.6636484, 40.4845596]}"
"Calle Oliva de Plasencia, 1,",0,"{'type': 'Point', 'coordinates': [-3.77915183, 40.37850071]}"
"Calle Valmojado, 295,",5,"{'type': 'Point', 'coordinates': [-3.76048923, 40.38614104]}"
"Calle Guareña, 13,",4,"{'type': 'Point', 'coordinates': [-3.76466897, 40.38486816]}"
"Avenida de las Aguilas , 110,",11,"{'type': 'Point', 'coordinates': [-3.78061952, 40.38132642]}"
"Calle de la Foresta, 21,",1,"{'type': 'Point', 'coordinates': [-3.66777681, 40.49853277]}"
"Calle de José Gutiérrez Maroto, 33,",16,"{'type': 'Point', 'coordinates': [-3.60503564, 40.36334587]}"
"Calle La Cabrera, sn,",17,"{'type': 'Point', 'coordinates': [-3.71920443, 40.47223267]}"
"Calle Fuente de Lima, 10,",4,"{'type': 'Point', 'coordinates': [-3.78339301, 40.38358975]}"
"Calle Ocaña, 103,",14,"{'type': 'Point', 'coordinates': [-3.75292035, 40.38586273]}"
"Paseo de Juan XXIII, 24,",7,"{'type': 'Point', 'coordinates': [-3.7169359, 40.448084]}"
"Avenida de Valladolid, 47G, 47,",14,"{'type': 'Point', 'coordinates': [-3.73068, 40.42966]}"
"Calle de Caroli, 1,",6,"{'type': 'Point', 'coordinates': [-3.784627, 40.45862]}"
"Calle Antonio Machado, sn,,",14,"{'type': 'Point', 'coordinates': [-3.71995383, 40.46439687]}"
"Calle Antonio Machado, 30,",3,"{'type': 'Point', 'coordinates': [-3.71921712, 40.46826955]}"
"Calle Fuente del Tiro, 27,",3,"{'type': 'Point', 'coordinates': [-3.7798001, 40.38308791]}"
"Paseo Virgen del Puerto, 25,",0,"{'type': 'Point', 'coordinates': [-3.72100859, 40.41161087]}"
"Calle del Pico Chilegua, 3,",19,"{'type': 'Point', 'coordinates': [-3.61869106, 40.37286701]}"
